,Title,Role,Rate,Indeed link,Apply link,Location
0,None,None,None,https://www.indeed.com/jobs?q=software%20QA%20testing&l=New+York%2C+NY&from=searchOnHP&start=0,None,None
1,"QA Engineer
- job post",None,None,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=6c283688079de7a8,https://www.indeed.com/applystart?jk=da215d5dfdbc9f82&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=W_sxYrH0VX9kvAeEL2nehaUmTXs4URukPZ9upQ6kYAw&vjfrom=vjs&astse=76b3c994758ae102&assa=6272,"114 John St # 224NEW, New York, NY 10272"
2,"Software Test Engineer
- job post",None,4.1 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=6150bb9778190723,https://www.indeed.com/applystart?jk=6150bb9778190723&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXh-1Uf9SW9-7Lbq_0_ECGlEULY8luZ3vf8Ryj3D5QnPXg&vjfrom=vjs&astse=120dc6a0badcc445&assa=6453,"New York, NY•Hybrid remote"
3,"Lead Software Engineer - QA Engineer
- job post",- Full-time,3.9 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=9269e369e8d06fe9,https://www.indeed.com/applystart?jk=9269e369e8d06fe9&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhRJmALLKRvKBeJQ1LDFHd8nUUKYs5yKqp3Fg7KgmoxhA&vjfrom=vjs&astse=618d5a99fa80eea9&assa=9460,"Manhattan, NY 10001"
4,"Jr. QA Engineer
- job post",Full-time,4 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=9269e369e8d06fe9,https://www.indeed.com/applystart?jk=4c7f46758dbb5f43&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiVwmy6gHVhMc9bB1EVp_q4ULY8luZ3vf8Ryj3D5QnPXg&vjfrom=vjs&astse=86e5a7cfb0e6bab0&assa=4865,"New York, NY•Remote"
5,"Jr./Mid Level QA Analyst
- job post",Full-time,None,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=4d156622f6bbc2b2,https://www.indeed.com/applystart?jk=4d156622f6bbc2b2&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=ViKThv1ypIBJ7HpcJKU4GPDSl9DX-ylbCpm4G5WMz1KXoMmvUuH-ylU3zPqWOu08uIj4yp6boH1eFRf9YmF9qg&vjfrom=vjs&astse=68da334c28c13723&assa=8828,"New York, NY"
6,"QA Engineer
- job post",- Full-time,None,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=7189a1473248b993,https://www.indeed.com/applystart?jk=7189a1473248b993&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhTlsZ5DJI9ModGeB7C6T8PULY8luZ3vf8Ryj3D5QnPXg&vjfrom=vjs&astse=ce7607118a7107ef&assa=9737,"New York, NY 10019•Hybrid remote"
7,"QA Lead – Dogfooding, Meta Reality Labs
- job post",None,4.1 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=afb0887c34646af5,https://www.indeed.com/applystart?jk=afb0887c34646af5&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjkOJQWVUBoM32xUOBc2sgzpsjbKTpre7P5gvPU7rdPPQ&vjfrom=vjs&astse=d82954f9fa43fc13&assa=6214,"New York, NY"
8,"QA Lead
- job post",- Full-time,4.2 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=afb0887c34646af5,https://www.indeed.com/applystart?jk=9eb148f826f5cbe2&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXishkrAyp5TDJXjBOWv6fcBMIfcMu539kP3i1FMxIq2rA&vjfrom=vjs&astse=6ff6429ef347a0e9&assa=4983,"200 Central Park W, New York, NY 10024"
9,"QA Analyst (Hybrid)
- job post",- Full-time,3.9 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=9eb148f826f5cbe2,https://www.indeed.com/applystart?jk=cea8034c9d6bd6e0&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXidQw-Tb3R-OOqsB4LaMBTBwsdLqiuaGy5Gw05HfKNzLw&vjfrom=vjs&astse=89fee33ef7817d22&assa=7708,"Rutherford, NJ"
10,"Embedded Software Engineer, Connectivity - Reality Labs
- job post",None,4.1 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=e723f8298e231717,https://www.indeed.com/applystart?jk=e723f8298e231717&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXj6jzw0Yd247nY9T6FByHf1XEqzEHpaMck04qufWYB5sg&vjfrom=vjs&astse=707d553e9e5c03e3&assa=1523,"New York, NY"
11,"Testing and QA Lead
- job post",Full-time,3.8 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=3479dd0514b49f02,https://www.indeed.com/applystart?jk=3479dd0514b49f02&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXg8JD7dziNW9rbuWTJiDON2MIfcMu539kP3i1FMxIq2rA&vjfrom=vjs&astse=41166435ffb5d1d7&assa=9918,"800 Harbor Blvd, Weehawken, NJ 07086"
12,"Software Development Engineer in Testing - Algo Trading
- job post",- Full-time,4 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=4c167849c15a1d0e,https://www.indeed.com/applystart?jk=4c167849c15a1d0e&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgS_deY11qeYrdUkDQVmq5xGQFsFDP3gSdjjHZnj9ZEfg&vjfrom=vjs&astse=e1194ef570910464&assa=4386,"New York, NY 10022"
13,"QA Engineer
- job post",None,4.2 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=4c167849c15a1d0e,https://www.indeed.com/applystart?jk=937b97b3a0b2ee8c&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiiHoXCzBToL1c_BO75hxChkiS-2XS_43VyhyRGICpJaw&vjfrom=vjs&astse=b08464fc9f4b9703&assa=3202,"1330 6th Avenue, New York, NY"
14,"Software Quality Assurance Engineer, Automotive
- job post",- Full-time,3.5 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=0&vjk=6fee2870b4326075,https://www.indeed.com/applystart?jk=6fee2870b4326075&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htoig22gr5000&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXi3LlEpHbXgzVpX4NyKHlU8psjbKTpre7P5gvPU7rdPPQ&vjfrom=vjs&astse=579b6e451e89705c&assa=2116,"New York, NY"
15,"QA Engineering Lead, Meta Reality Labs
- job post",None,4.1 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=10&vjk=e3ab9a4f4aa0b5e6,https://www.indeed.com/applystart?jk=e3ab9a4f4aa0b5e6&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htunt2k6re800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjl_b39kBeKRRJe04_l8zMF-BhdrQogdzP3xc9-PmOQTQ&vjfrom=vjs&astse=90a63b7e2966dcf6&assa=7559,"New York, NY"
16,"QA Engineer
- job post",Full-time,4.5 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=10&vjk=c3c88872664bc451,https://www.indeed.com/applystart?jk=c3c88872664bc451&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htunt2k6re800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiPrwTcA1cU23IneIlxLCMZ2Lr7DfU83qy6ilMSvPFMEw&vjfrom=vjs&astse=80e904f92b0136dc&assa=6494,"New York, NY 10016"
17,"Mobile QA Engineer
- job post",- Full-time,4.2 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=10&vjk=fe16e4c1c4cad20a,https://www.indeed.com/applystart?jk=fe16e4c1c4cad20a&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htunt2k6re800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgPEGhhEI-mbMgt2ePOCMKr5Z_dA0xndw9ylAW4Hz2CAQ&vjfrom=vjs&astse=86b6dc05477c3363&assa=4348,"New York, NY•Hybrid remote"
18,"QA Automation Test Engineer
- job post",Full-time,3.3 out of 5 ,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=10&vjk=fe16e4c1c4cad20a,https://www.indeed.com/applystart?jk=cd23026ff724aacb&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htunt2k6re800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXg3QH906NzXk5EgoBJwfJY4XAwdulcUk0atwlDdDDqlBQ&vjfrom=vjs&astse=e44585db9b38471d&assa=4535,"New York, NY"
19,"QA (Mobile Application)
- job post",None,None,https://www.indeed.com/jobs?q=software+QA+testing&l=New+York%2C+NY&from=searchOnHP&start=10&vjk=2faeeacf58de38d1,https://www.indeed.com/applystart?jk=2faeeacf58de38d1&from=vj&pos=bottom&mvj=0&jobsearchTk=1h5htunt2k6re800&spon=0&sjdu=sRMkgO3hmPJMnhGeaasnOpRdlKRZsfp35QNJnDjQgvTO_XA2iijS_auLaIEOUci9&vjfrom=vjs&astse=34dc68661ec6c101&assa=7309,"230 Park Avenue, New York, NY 10169"
